States,Years,Quarter,RegisteredUsers,Districts,AppOpens
andhra-pradesh,2018,2,167327,vizianagaram district,0
andhra-pradesh,2018,2,248657,ysr district,0
andhra-pradesh,2018,2,282393,west godavari district,0
andhra-pradesh,2018,2,414306,chittoor district,0
andhra-pradesh,2018,3,558982,east godavari district,0
andhra-pradesh,2018,3,228456,srikakulam district,0
andhra-pradesh,2018,3,769096,visakhapatnam district,0
andhra-pradesh,2018,3,314899,prakasam district,0
andhra-pradesh,2018,3,405855,anantapur district,0
andhra-pradesh,2018,3,394311,kurnool district,0
andhra-pradesh,2018,3,518931,guntur district,0
andhra-pradesh,2018,3,537086,krishna district,0
andhra-pradesh,2018,3,322446,spsr nellore district,0
andhra-pradesh,2018,3,203655,vizianagaram district,0
andhra-pradesh,2018,3,308391,ysr district,0
andhra-pradesh,2018,3,349782,west godavari district,0
andhra-pradesh,2018,3,515727,chittoor district,0
andhra-pradesh,2018,4,694455,east godavari district,0
andhra-pradesh,2018,4,284874,srikakulam district,0
andhra-pradesh,2018,4,978288,visakhapatnam district,0
andhra-pradesh,2018,4,394962,prakasam district,0
andhra-pradesh,2018,4,510892,anantapur district,0
andhra-pradesh,2018,4,498582,kurnool district,0
andhra-pradesh,2018,4,659552,guntur district,0
andhra-pradesh,2018,4,682479,krishna district,0
andhra-pradesh,2018,4,407495,spsr nellore district,0
andhra-pradesh,2018,4,257824,vizianagaram district,0
andhra-pradesh,2018,4,387058,ysr district,0
andhra-pradesh,2018,4,435668,west godavari district,0
andhra-pradesh,2018,4,665280,chittoor district,0
andhra-pradesh,2019,1,839277,east godavari district,0
andhra-pradesh,2019,1,345775,srikakulam district,0
andhra-pradesh,2019,1,1174517,visakhapatnam district,0
andhra-pradesh,2019,1,474260,prakasam district,0
andhra-pradesh,2019,1,612162,anantapur district,0
andhra-pradesh,2019,1,599422,kurnool district,0
andhra-pradesh,2019,1,802394,guntur district,0
andhra-pradesh,2019,1,833694,krishna district,0
andhra-pradesh,2019,1,491908,spsr nellore district,0
andhra-pradesh,2019,1,313334,vizianagaram district,0
andhra-pradesh,2019,1,460590,ysr district,0
andhra-pradesh,2019,1,523372,west godavari district,0
andhra-pradesh,2019,1,812314,chittoor district,0
andhra-pradesh,2019,2,945181,east godavari district,7156762
andhra-pradesh,2019,2,392764,srikakulam district,3230330
andhra-pradesh,2019,2,1318740,visakhapatnam district,13681907
andhra-pradesh,2019,2,539462,prakasam district,4488365
andhra-pradesh,2019,2,695114,anantapur district,6056591
andhra-pradesh,2019,2,680118,kurnool district,6240480
andhra-pradesh,2019,2,915256,guntur district,7268875
andhra-pradesh,2019,2,952300,krishna district,7822632
andhra-pradesh,2019,2,558303,spsr nellore district,4774473
andhra-pradesh,2019,2,355058,vizianagaram district,3541678
andhra-pradesh,2019,2,519031,ysr district,4345848
andhra-pradesh,2019,2,592185,west godavari district,3853094
andhra-pradesh,2019,2,925491,chittoor district,8914216
andhra-pradesh,2019,3,1057167,east godavari district,28275322
andhra-pradesh,2019,3,437939,srikakulam district,11813195
andhra-pradesh,2019,3,1460464,visakhapatnam district,54836001
andhra-pradesh,2019,3,598568,prakasam district,16267041
andhra-pradesh,2019,3,773656,anantapur district,22845084
andhra-pradesh,2019,3,755024,kurnool district,22827473
andhra-pradesh,2019,3,1026418,guntur district,28477132
andhra-pradesh,2019,3,1066546,krishna district,30077671
andhra-pradesh,2019,3,619592,spsr nellore district,17768733
andhra-pradesh,2019,3,394375,vizianagaram district,13065845
andhra-pradesh,2019,3,574109,ysr district,15833900
andhra-pradesh,2019,3,662102,west godavari district,14227407
andhra-pradesh,2019,3,1032733,chittoor district,34638738
andhra-pradesh,2019,4,1195228,east godavari district,38299189
andhra-pradesh,2019,4,496266,srikakulam district,16353822
andhra-pradesh,2019,4,1620235,visakhapatnam district,70749983
andhra-pradesh,2019,4,673522,prakasam district,21639748
andhra-pradesh,2019,4,873033,anantapur district,30278539
andhra-pradesh,2019,4,846885,kurnool district,29676997
andhra-pradesh,2019,4,1158708,guntur district,37846179
andhra-pradesh,2019,4,1199971,krishna district,39407473
andhra-pradesh,2019,4,697154,spsr nellore district,23608360
andhra-pradesh,2019,4,443810,vizianagaram district,17515311
andhra-pradesh,2019,4,646642,ysr district,21543798
andhra-pradesh,2019,4,750078,west godavari district,19393528
andhra-pradesh,2019,4,1156351,chittoor district,44888591
andhra-pradesh,2020,1,1329664,east godavari district,46142746
andhra-pradesh,2020,1,552007,srikakulam district,20975989
andhra-pradesh,2020,1,1763581,visakhapatnam district,77558624
andhra-pradesh,2020,1,748655,prakasam district,26870693
andhra-pradesh,2020,1,971850,anantapur district,36900103
andhra-pradesh,2020,1,936293,kurnool district,34198350
andhra-pradesh,2020,1,1289678,guntur district,45282758
andhra-pradesh,2020,1,1331602,krishna district,46079408
andhra-pradesh,2020,1,775440,spsr nellore district,28879364
andhra-pradesh,2020,1,490683,vizianagaram district,21562104
andhra-pradesh,2020,1,717865,ysr district,26166193
andhra-pradesh,2020,1,843835,west godavari district,24542868
andhra-pradesh,2020,1,1270907,chittoor district,51354573
andhra-pradesh,2020,2,1459116,east godavari district,45884498
andhra-pradesh,2020,2,608002,srikakulam district,23808009
andhra-pradesh,2020,2,1904719,visakhapatnam district,69684456
andhra-pradesh,2020,2,830709,prakasam district,32255276
andhra-pradesh,2020,2,1076953,anantapur district,39704703
andhra-pradesh,2020,2,1035093,kurnool district,36268390
andhra-pradesh,2020,2,1426271,guntur district,44267596
andhra-pradesh,2020,2,1459041,krishna district,41234166
andhra-pradesh,2020,2,854459,spsr nellore district,30816403
andhra-pradesh,2020,2,537798,vizianagaram district,24370380
andhra-pradesh,2020,2,796769,ysr district,29644037
andhra-pradesh,2020,2,944829,west godavari district,26583613
andhra-pradesh,2020,2,1385916,chittoor district,49820171
andhra-pradesh,2020,3,1601940,east godavari district,64292857
andhra-pradesh,2020,3,667858,srikakulam district,31794753
andhra-pradesh,2020,3,2058346,visakhapatnam district,102589371
andhra-pradesh,2020,3,915240,prakasam district,44970519
andhra-pradesh,2020,3,1186851,anantapur district,55714787
andhra-pradesh,2020,3,1132240,kurnool district,49164718
andhra-pradesh,2020,3,1567595,guntur district,62427501
andhra-pradesh,2020,3,1599289,krishna district,61028114
andhra-pradesh,2020,3,937176,spsr nellore district,43951448
andhra-pradesh,2020,3,587784,vizianagaram district,31199437
andhra-pradesh,2020,3,877909,ysr district,41578067
andhra-pradesh,2020,3,1053674,west godavari district,38126238
andhra-pradesh,2020,3,1506503,chittoor district,69462572
andhra-pradesh,2020,4,1746280,east godavari district,82605352
andhra-pradesh,2020,4,726761,srikakulam district,36770992
andhra-pradesh,2020,4,2209658,visakhapatnam district,124730170
andhra-pradesh,2020,4,999462,prakasam district,52839846
andhra-pradesh,2020,4,1295872,anantapur district,69562398
andhra-pradesh,2020,4,1230466,kurnool district,60615045
andhra-pradesh,2020,4,1712940,guntur district,81291172
andhra-pradesh,2020,4,1744028,krishna district,81787771
andhra-pradesh,2020,4,1022944,spsr nellore district,54765443
andhra-pradesh,2020,4,634462,vizianagaram district,35110885
andhra-pradesh,2020,4,959182,ysr district,49596303
andhra-pradesh,2020,4,1163179,west godavari district,51170162
andhra-pradesh,2020,4,1631331,chittoor district,88232999
andhra-pradesh,2021,1,1878769,east godavari district,91478749
andhra-pradesh,2021,1,782604,srikakulam district,40590058
andhra-pradesh,2021,1,2368081,visakhapatnam district,135908324
andhra-pradesh,2021,1,1075936,prakasam district,56911479
andhra-pradesh,2021,1,1394849,anantapur district,73375049
andhra-pradesh,2021,1,1323411,kurnool district,65326230
andhra-pradesh,2021,1,1843237,guntur district,92731167
andhra-pradesh,2021,1,1876458,krishna district,92941553
andhra-pradesh,2021,1,1100541,spsr nellore district,60691988
andhra-pradesh,2021,1,681621,vizianagaram district,37752539
andhra-pradesh,2021,1,1032689,ysr district,53525815
andhra-pradesh,2021,1,1254117,west godavari district,57392671
andhra-pradesh,2021,1,1751420,chittoor district,99083825
andhra-pradesh,2021,2,2006272,east godavari district,84705076
andhra-pradesh,2021,2,837958,srikakulam district,43740255
andhra-pradesh,2021,2,2526830,visakhapatnam district,114313154
andhra-pradesh,2021,2,1151232,prakasam district,76850749
andhra-pradesh,2021,2,1492738,anantapur district,104568606
andhra-pradesh,2021,2,1415585,kurnool district,81894678
andhra-pradesh,2021,2,1968681,guntur district,88248064
andhra-pradesh,2021,2,2002662,krishna district,85771678
andhra-pradesh,2021,2,1176334,spsr nellore district,74049216
andhra-pradesh,2021,2,729509,vizianagaram district,42684475
andhra-pradesh,2021,2,1103004,ysr district,72255265
andhra-pradesh,2021,2,1339377,west godavari district,65118788
andhra-pradesh,2021,2,1870723,chittoor district,110505432
andhra-pradesh,2021,3,2150622,east godavari district,103626560
andhra-pradesh,2021,3,902008,srikakulam district,48622126
andhra-pradesh,2021,3,2707931,visakhapatnam district,139540800
andhra-pradesh,2021,3,1239147,prakasam district,91533813
andhra-pradesh,2021,3,1606735,anantapur district,124985545
andhra-pradesh,2021,3,1522196,kurnool district,101210508
andhra-pradesh,2021,3,2110878,guntur district,106621413
andhra-pradesh,2021,3,2145423,krishna district,104358295
andhra-pradesh,2021,3,1263550,spsr nellore district,90102349
andhra-pradesh,2021,3,784444,vizianagaram district,46277311
andhra-pradesh,2021,3,1183377,ysr district,86369956
andhra-pradesh,2021,3,1436576,west godavari district,80244808
andhra-pradesh,2021,3,2007011,chittoor district,135043395
andhra-pradesh,2021,4,2294347,east godavari district,142536856
andhra-pradesh,2021,4,965335,srikakulam district,61654215
andhra-pradesh,2021,4,2888774,visakhapatnam district,188757640
andhra-pradesh,2021,4,1325728,prakasam district,86410317
andhra-pradesh,2021,4,1719437,anantapur district,120768682
andhra-pradesh,2021,4,1628242,kurnool district,97379271
andhra-pradesh,2021,4,2252443,guntur district,130920743
andhra-pradesh,2021,4,2288148,krishna district,134436469
andhra-pradesh,2021,4,1349290,spsr nellore district,90814672
andhra-pradesh,2021,4,839606,vizianagaram district,56101822
andhra-pradesh,2021,4,1262963,ysr district,83534122
andhra-pradesh,2021,4,1532898,west godavari district,100007280
andhra-pradesh,2021,4,2141818,chittoor district,154395512
andhra-pradesh,2022,1,2432305,east godavari district,87134562
andhra-pradesh,2022,1,1027283,srikakulam district,46691467
andhra-pradesh,2022,1,3061324,visakhapatnam district,88803090
andhra-pradesh,2022,1,1408929,prakasam district,104851997
andhra-pradesh,2022,1,1827094,anantapur district,155792533
andhra-pradesh,2022,1,1729513,kurnool district,119653214
andhra-pradesh,2022,1,2387051,guntur district,88844052
andhra-pradesh,2022,1,2423373,krishna district,85871644
andhra-pradesh,2022,1,1431664,spsr nellore district,101671767
andhra-pradesh,2022,1,892889,vizianagaram district,44804002
andhra-pradesh,2022,1,1339782,ysr district,98878499
andhra-pradesh,2022,1,1626039,west godavari district,87642475
