States,Years,Quarter,RegisteredUsers,Districts,AppOpens
bihar,2022,1,461979,sitamarhi district,6415453
bihar,2022,1,673849,saran district,8000740
bihar,2022,1,101813,arwal district,1461593
bihar,2022,1,614159,vaishali district,5793084
bihar,2022,1,692182,pashchim champaran district,17528649
bihar,2022,1,461794,gopalganj district,5928935
bihar,2022,1,156781,lakhisarai district,3371253
bihar,2022,1,405254,aurangabad district,13452704
bihar,2022,1,223072,kaimur bhabua district,6887444
bihar,2022,1,370029,araria district,11889342
bihar,2022,1,250357,munger district,3394719
bihar,2022,1,438584,katihar district,12011467
bihar,2022,1,239286,khagaria district,6257649
bihar,2022,1,301372,saharsa district,6799845
bihar,2022,1,610174,bhagalpur district,7091019
bihar,2022,1,672303,madhubani district,11335634
bihar,2022,1,216915,kishanganj district,8983771
bihar,2022,1,769265,gaya district,19954254
bihar,2022,1,672508,samastipur district,8256538
bihar,2022,1,231228,banka district,10552229
bihar,2022,1,912427,purbi champaran district,13051699
bihar,2022,1,78832,sheohar district,1090835
bihar,2022,1,450190,bhojpur district,5785964
bihar,2022,2,296711,madhepura district,6048349
bihar,2022,2,534713,purnia district,15748261
bihar,2022,2,595960,nalanda district,7175402
bihar,2022,2,279169,buxar district,4657169
bihar,2022,2,708828,darbhanga district,8695015
bihar,2022,2,348128,nawada district,9106459
bihar,2022,2,267040,jamui district,15353736
bihar,2022,2,101333,sheikhpura district,2534607
bihar,2022,2,625266,siwan district,6287087
bihar,2022,2,1018560,muzaffarpur district,10556362
bihar,2022,2,2577123,patna district,15545639
bihar,2022,2,192101,jehanabad district,3125099
bihar,2022,2,569818,rohtas district,11734606
bihar,2022,2,522522,begusarai district,7676043
bihar,2022,2,331990,supaul district,9364630
bihar,2022,2,489836,sitamarhi district,6910218
bihar,2022,2,714109,saran district,7698357
bihar,2022,2,108033,arwal district,1350947
bihar,2022,2,650319,vaishali district,5971589
bihar,2022,2,734476,pashchim champaran district,18284568
bihar,2022,2,489448,gopalganj district,6461756
bihar,2022,2,165876,lakhisarai district,3978621
bihar,2022,2,429493,aurangabad district,14606052
bihar,2022,2,236482,kaimur bhabua district,8031560
bihar,2022,2,392076,araria district,13402058
bihar,2022,2,264683,munger district,3322251
bihar,2022,2,464782,katihar district,13185680
bihar,2022,2,253856,khagaria district,7346984
bihar,2022,2,319345,saharsa district,8124445
bihar,2022,2,645479,bhagalpur district,8167048
bihar,2022,2,711897,madhubani district,11801738
bihar,2022,2,229908,kishanganj district,8860529
bihar,2022,2,814180,gaya district,22949318
bihar,2022,2,712626,samastipur district,9290605
bihar,2022,2,245267,banka district,13631840
bihar,2022,2,967838,purbi champaran district,13811656
bihar,2022,2,83701,sheohar district,1159293
bihar,2022,2,476922,bhojpur district,6632861
bihar,2022,3,313960,madhepura district,5886305
bihar,2022,3,565515,purnia district,17265639
bihar,2022,3,629780,nalanda district,7753374
bihar,2022,3,295108,buxar district,4551340
bihar,2022,3,749430,darbhanga district,7569101
bihar,2022,3,368086,nawada district,8056207
bihar,2022,3,282221,jamui district,16122651
bihar,2022,3,107101,sheikhpura district,2666151
bihar,2022,3,662330,siwan district,4771874
bihar,2022,3,1077200,muzaffarpur district,9753785
bihar,2022,3,2716533,patna district,14287382
bihar,2022,3,203185,jehanabad district,4506553
bihar,2022,3,603031,rohtas district,11903038
bihar,2022,3,552515,begusarai district,6457145
bihar,2022,3,351009,supaul district,10366077
bihar,2022,3,518667,sitamarhi district,5382757
bihar,2022,3,756293,saran district,6774716
bihar,2022,3,114283,arwal district,1140276
bihar,2022,3,688248,vaishali district,5105824
bihar,2022,3,777977,pashchim champaran district,17123986
bihar,2022,3,518406,gopalganj district,4689571
bihar,2022,3,175377,lakhisarai district,3236651
bihar,2022,3,454222,aurangabad district,13130908
bihar,2022,3,249931,kaimur bhabua district,8936663
bihar,2022,3,414664,araria district,15218229
bihar,2022,3,279807,munger district,2859668
bihar,2022,3,491899,katihar district,13879403
bihar,2022,3,268959,khagaria district,6906706
bihar,2022,3,337915,saharsa district,8150025
bihar,2022,3,682584,bhagalpur district,7649764
bihar,2022,3,753153,madhubani district,10261898
bihar,2022,3,242898,kishanganj district,10058569
bihar,2022,3,859903,gaya district,21340459
bihar,2022,3,754322,samastipur district,8237748
bihar,2022,3,258927,banka district,16625291
bihar,2022,3,1025772,purbi champaran district,11862222
bihar,2022,3,88685,sheohar district,1331255
bihar,2022,3,504480,bhojpur district,4988174
bihar,2022,4,329562,madhepura district,13499708
bihar,2022,4,593232,purnia district,26454795
bihar,2022,4,662033,nalanda district,16909884
bihar,2022,4,309618,buxar district,9814488
bihar,2022,4,787306,darbhanga district,31930577
bihar,2022,4,386468,nawada district,12902353
bihar,2022,4,295526,jamui district,14333122
bihar,2022,4,112165,sheikhpura district,3234164
bihar,2022,4,696350,siwan district,32066312
bihar,2022,4,1132096,muzaffarpur district,47917955
bihar,2022,4,2854738,patna district,76878071
bihar,2022,4,213299,jehanabad district,6789308
bihar,2022,4,633339,rohtas district,21868732
bihar,2022,4,580490,begusarai district,20776494
bihar,2022,4,368012,supaul district,16629451
bihar,2022,4,545122,sitamarhi district,21609733
bihar,2022,4,795553,saran district,34582489
bihar,2022,4,120018,arwal district,3801300
bihar,2022,4,723338,vaishali district,30088669
bihar,2022,4,817644,pashchim champaran district,36683844
bihar,2022,4,544789,gopalganj district,24049716
bihar,2022,4,184080,lakhisarai district,6181684
bihar,2022,4,476502,aurangabad district,19689871
bihar,2022,4,261997,kaimur bhabua district,10021920
bihar,2022,4,434826,araria district,20875243
bihar,2022,4,293955,munger district,8729881
bihar,2022,4,516972,katihar district,26243092
bihar,2022,4,282678,khagaria district,10119449
bihar,2022,4,354933,saharsa district,14792840
bihar,2022,4,717627,bhagalpur district,22401259
bihar,2022,4,790218,madhubani district,32995768
bihar,2022,4,254250,kishanganj district,13281628
bihar,2022,4,902593,gaya district,33234272
bihar,2022,4,793296,samastipur district,32459845
bihar,2022,4,270790,banka district,10606068
bihar,2022,4,1079466,purbi champaran district,50161341
bihar,2022,4,93194,sheohar district,4924740
bihar,2022,4,530042,bhojpur district,15287136
bihar,2023,1,345865,madhepura district,8279792
bihar,2023,1,622840,purnia district,18905690
bihar,2023,1,694505,nalanda district,9017774
bihar,2023,1,324669,buxar district,6811404
bihar,2023,1,824935,darbhanga district,10454188
bihar,2023,1,405472,nawada district,10553757
bihar,2023,1,309995,jamui district,27821638
bihar,2023,1,117596,sheikhpura district,3131992
bihar,2023,1,730485,siwan district,4846823
bihar,2023,1,1186500,muzaffarpur district,10142290
bihar,2023,1,2988174,patna district,16984542
bihar,2023,1,223724,jehanabad district,3888371
bihar,2023,1,664779,rohtas district,16294413
bihar,2023,1,608446,begusarai district,8882232
bihar,2023,1,385797,supaul district,15750177
bihar,2023,1,571721,sitamarhi district,9475785
bihar,2023,1,834739,saran district,8776794
bihar,2023,1,125818,arwal district,1371277
bihar,2023,1,758603,vaishali district,6119538
bihar,2023,1,858644,pashchim champaran district,24726372
bihar,2023,1,571551,gopalganj district,8170762
bihar,2023,1,192835,lakhisarai district,4773174
bihar,2023,1,499993,aurangabad district,18001340
bihar,2023,1,274984,kaimur bhabua district,11025721
bihar,2023,1,456566,araria district,19513544
bihar,2023,1,307956,munger district,6203321
bihar,2023,1,542563,katihar district,19687089
bihar,2023,1,296763,khagaria district,9404441
bihar,2023,1,372270,saharsa district,11827219
bihar,2023,1,752449,bhagalpur district,11640722
bihar,2023,1,828561,madhubani district,11724016
bihar,2023,1,266604,kishanganj district,14874504
bihar,2023,1,946050,gaya district,29725833
bihar,2023,1,832148,samastipur district,8955924
bihar,2023,1,284021,banka district,21381203
bihar,2023,1,1133269,purbi champaran district,15646743
bihar,2023,1,97787,sheohar district,1837447
bihar,2023,1,556334,bhojpur district,9258708
bihar,2023,2,361483,madhepura district,7956546
bihar,2023,2,650586,purnia district,26215808
bihar,2023,2,724344,nalanda district,8769844
bihar,2023,2,339236,buxar district,7975751
bihar,2023,2,860625,darbhanga district,12632270
bihar,2023,2,423566,nawada district,13132140
bihar,2023,2,324006,jamui district,32808046
bihar,2023,2,122989,sheikhpura district,3997378
bihar,2023,2,762520,siwan district,5193486
bihar,2023,2,1236642,muzaffarpur district,14267911
bihar,2023,2,3102247,patna district,18060810
bihar,2023,2,233685,jehanabad district,5679493
bihar,2023,2,694080,rohtas district,19069646
bihar,2023,2,634247,begusarai district,9089576
bihar,2023,2,402896,supaul district,21148734
bihar,2023,2,597450,sitamarhi district,11508548
bihar,2023,2,871017,saran district,12928803
bihar,2023,2,131472,arwal district,1502269
bihar,2023,2,791100,vaishali district,10171929
bihar,2023,2,896967,pashchim champaran district,24038594
bihar,2023,2,596588,gopalganj district,9282185
bihar,2023,2,201354,lakhisarai district,5056177
bihar,2023,2,522505,aurangabad district,19181429
bihar,2023,2,287703,kaimur bhabua district,16864383
bihar,2023,2,477493,araria district,22351744
bihar,2023,2,320954,munger district,5840426
bihar,2023,2,567110,katihar district,26522822
bihar,2023,2,310090,khagaria district,12972164
bihar,2023,2,388615,saharsa district,14845735
bihar,2023,2,784397,bhagalpur district,11108299
bihar,2023,2,865373,madhubani district,16342906
bihar,2023,2,278925,kishanganj district,19780565
bihar,2023,2,987115,gaya district,36504635
bihar,2023,2,868715,samastipur district,10431415
bihar,2023,2,297231,banka district,27698919
bihar,2023,2,1183746,purbi champaran district,21821304
bihar,2023,2,102264,sheohar district,2126419
bihar,2023,2,580635,bhojpur district,11192277
bihar,2023,3,376610,madhepura district,10027612
bihar,2023,3,678087,purnia district,27877047
bihar,2023,3,754513,nalanda district,10582818
bihar,2023,3,353732,buxar district,9958553
bihar,2023,3,896190,darbhanga district,13058293
bihar,2023,3,441557,nawada district,13998532
bihar,2023,3,337720,jamui district,29968335
bihar,2023,3,128000,sheikhpura district,3118531
bihar,2023,3,794588,siwan district,3958692
bihar,2023,3,1287940,muzaffarpur district,18371047
bihar,2023,3,3224750,patna district,17000549
bihar,2023,3,243611,jehanabad district,6160091
bihar,2023,3,723656,rohtas district,18235306
bihar,2023,3,660742,begusarai district,12033800
bihar,2023,3,419755,supaul district,27133890
bihar,2023,3,622748,sitamarhi district,14045065
bihar,2023,3,908065,saran district,10536375
bihar,2023,3,137028,arwal district,1612831
bihar,2023,3,824848,vaishali district,7455086
bihar,2023,3,934834,pashchim champaran district,38626335
bihar,2023,3,621721,gopalganj district,4122494
bihar,2023,3,209648,lakhisarai district,8249806
bihar,2023,3,545012,aurangabad district,22782318
bihar,2023,3,299956,kaimur bhabua district,17189537
bihar,2023,3,497544,araria district,29488364
bihar,2023,3,334314,munger district,10033994
bihar,2023,3,591341,katihar district,41535021
bihar,2023,3,323599,khagaria district,17848204
bihar,2023,3,404700,saharsa district,14190090
bihar,2023,3,817210,bhagalpur district,15397798
bihar,2023,3,901607,madhubani district,14185590
bihar,2023,3,290756,kishanganj district,18502917
bihar,2023,3,1028527,gaya district,39984441
bihar,2023,3,905652,samastipur district,8604851
bihar,2023,3,309910,banka district,36154059
bihar,2023,3,1234014,purbi champaran district,18031904
bihar,2023,3,106622,sheohar district,3441114
bihar,2023,3,605403,bhojpur district,10422101
chandigarh,2018,1,86268,chandigarh district,0
chandigarh,2018,2,115219,chandigarh district,0
chandigarh,2018,3,143893,chandigarh district,0
chandigarh,2018,4,177747,chandigarh district,0
chandigarh,2019,1,209175,chandigarh district,0
chandigarh,2019,2,240439,chandigarh district,1220176
chandigarh,2019,3,267337,chandigarh district,4625196
chandigarh,2019,4,289590,chandigarh district,4960441
chandigarh,2020,1,312887,chandigarh district,5201211
chandigarh,2020,2,336351,chandigarh district,3451250
chandigarh,2020,3,362588,chandigarh district,4888739
chandigarh,2020,4,391402,chandigarh district,6477974
chandigarh,2021,1,419998,chandigarh district,7919533
chandigarh,2021,2,448572,chandigarh district,4733924
chandigarh,2021,3,480463,chandigarh district,6378807
chandigarh,2021,4,512092,chandigarh district,11603954
chandigarh,2022,1,541549,chandigarh district,2321685
chandigarh,2022,2,569582,chandigarh district,2285979
chandigarh,2022,3,598698,chandigarh district,2173356
chandigarh,2022,4,627563,chandigarh district,15308862
chandigarh,2023,1,654522,chandigarh district,2001065
chandigarh,2023,2,678662,chandigarh district,1978988
chandigarh,2023,3,704144,chandigarh district,1924922
chhattisgarh,2018,1,15571,dhamtari district,0
chhattisgarh,2018,1,39075,korba district,0
chhattisgarh,2018,1,12279,surajpur district,0
chhattisgarh,2018,1,21747,baloda bazar district,0
chhattisgarh,2018,1,3205,sukma district,0
chhattisgarh,2018,1,51628,raigarh district,0
chhattisgarh,2018,1,42297,janjgir champa district,0
chhattisgarh,2018,1,12420,jashpur district,0
chhattisgarh,2018,1,13500,balod district,0
chhattisgarh,2018,1,10892,kabirdham district,0
chhattisgarh,2018,1,22001,surguja district,0
chhattisgarh,2018,1,4894,dantewada district,0
chhattisgarh,2018,1,8679,gariyaband district,0
chhattisgarh,2018,1,91516,durg district,0
chhattisgarh,2018,1,26295,rajnandgaon district,0
chhattisgarh,2018,1,135308,raipur district,0
chhattisgarh,2018,1,1768,narayanpur district,0
chhattisgarh,2018,1,10256,kanker district,0
chhattisgarh,2018,1,15517,korea district,0
chhattisgarh,2018,1,7387,mungeli district,0
chhattisgarh,2018,1,68704,bilaspur district,0
chhattisgarh,2018,1,9313,balrampur district,0
chhattisgarh,2018,1,3606,bijapur district,0
chhattisgarh,2018,1,12283,bemetara district,0
chhattisgarh,2018,1,13889,bastar district,0
chhattisgarh,2018,1,5625,kondagaon district,0
chhattisgarh,2018,1,19608,mahasamund district,0
chhattisgarh,2018,2,22286,dhamtari district,0
chhattisgarh,2018,2,54105,korba district,0
chhattisgarh,2018,2,17141,surajpur district,0
chhattisgarh,2018,2,32314,baloda bazar district,0
chhattisgarh,2018,2,4793,sukma district,0
chhattisgarh,2018,2,70970,raigarh district,0
chhattisgarh,2018,2,60185,janjgir champa district,0
chhattisgarh,2018,2,17053,jashpur district,0
chhattisgarh,2018,2,19941,balod district,0
chhattisgarh,2018,2,16461,kabirdham district,0
chhattisgarh,2018,2,30374,surguja district,0
chhattisgarh,2018,2,7287,dantewada district,0
chhattisgarh,2018,2,12542,gariyaband district,0
chhattisgarh,2018,2,124515,durg district,0
chhattisgarh,2018,2,38120,rajnandgaon district,0
chhattisgarh,2018,2,185747,raipur district,0
chhattisgarh,2018,2,2522,narayanpur district,0
chhattisgarh,2018,2,15229,kanker district,0
chhattisgarh,2018,2,20966,korea district,0
chhattisgarh,2018,2,11084,mungeli district,0
chhattisgarh,2018,2,94888,bilaspur district,0
chhattisgarh,2018,2,12903,balrampur district,0
chhattisgarh,2018,2,5454,bijapur district,0
chhattisgarh,2018,2,17548,bemetara district,0
chhattisgarh,2018,2,19718,bastar district,0
chhattisgarh,2018,2,8321,kondagaon district,0
chhattisgarh,2018,2,28208,mahasamund district,0
chhattisgarh,2018,3,29271,dhamtari district,0
chhattisgarh,2018,3,68746,korba district,0
chhattisgarh,2018,3,23142,surajpur district,0
chhattisgarh,2018,3,43335,baloda bazar district,0
chhattisgarh,2018,3,6694,sukma district,0
chhattisgarh,2018,3,89911,raigarh district,0
chhattisgarh,2018,3,77834,janjgir champa district,0
chhattisgarh,2018,3,22329,jashpur district,0
chhattisgarh,2018,3,26663,balod district,0
chhattisgarh,2018,3,21958,kabirdham district,0
chhattisgarh,2018,3,40025,surguja district,0
chhattisgarh,2018,3,10338,dantewada district,0
chhattisgarh,2018,3,16672,gariyaband district,0
chhattisgarh,2018,3,150753,durg district,0
chhattisgarh,2018,3,50271,rajnandgaon district,0
chhattisgarh,2018,3,231146,raipur district,0
chhattisgarh,2018,3,3509,narayanpur district,0
chhattisgarh,2018,3,21379,kanker district,0
chhattisgarh,2018,3,27036,korea district,0
chhattisgarh,2018,3,15251,mungeli district,0
chhattisgarh,2018,3,119415,bilaspur district,0
chhattisgarh,2018,3,17026,balrampur district,0
chhattisgarh,2018,3,7785,bijapur district,0
chhattisgarh,2018,3,23151,bemetara district,0
chhattisgarh,2018,3,25975,bastar district,0
chhattisgarh,2018,3,11549,kondagaon district,0
chhattisgarh,2018,3,36628,mahasamund district,0
chhattisgarh,2018,4,37491,dhamtari district,0
chhattisgarh,2018,4,88680,korba district,0
chhattisgarh,2018,4,32284,surajpur district,0
chhattisgarh,2018,4,60270,baloda bazar district,0
chhattisgarh,2018,4,9189,sukma district,0
chhattisgarh,2018,4,116785,raigarh district,0
chhattisgarh,2018,4,107156,janjgir champa district,0
chhattisgarh,2018,4,29087,jashpur district,0
chhattisgarh,2018,4,35319,balod district,0
chhattisgarh,2018,4,30021,kabirdham district,0
chhattisgarh,2018,4,51776,surguja district,0
chhattisgarh,2018,4,14264,dantewada district,0
chhattisgarh,2018,4,21861,gariyaband district,0
chhattisgarh,2018,4,185746,durg district,0
chhattisgarh,2018,4,64828,rajnandgaon district,0
chhattisgarh,2018,4,289198,raipur district,0
chhattisgarh,2018,4,4918,narayanpur district,0
chhattisgarh,2018,4,29452,kanker district,0
chhattisgarh,2018,4,35408,korea district,0
chhattisgarh,2018,4,21506,mungeli district,0
chhattisgarh,2018,4,153972,bilaspur district,0
chhattisgarh,2018,4,22409,balrampur district,0
chhattisgarh,2018,4,10547,bijapur district,0
chhattisgarh,2018,4,30148,bemetara district,0
chhattisgarh,2018,4,34157,bastar district,0
chhattisgarh,2018,4,15900,kondagaon district,0
chhattisgarh,2018,4,47626,mahasamund district,0
chhattisgarh,2019,1,44369,dhamtari district,0
chhattisgarh,2019,1,105570,korba district,0
chhattisgarh,2019,1,39128,surajpur district,0
chhattisgarh,2019,1,73454,baloda bazar district,0
chhattisgarh,2019,1,11464,sukma district,0
chhattisgarh,2019,1,139059,raigarh district,0
chhattisgarh,2019,1,130114,janjgir champa district,0
chhattisgarh,2019,1,35598,jashpur district,0
chhattisgarh,2019,1,42804,balod district,0
chhattisgarh,2019,1,36729,kabirdham district,0
chhattisgarh,2019,1,62300,surguja district,0
chhattisgarh,2019,1,17514,dantewada district,0
chhattisgarh,2019,1,25995,gariyaband district,0
chhattisgarh,2019,1,224058,durg district,0
chhattisgarh,2019,1,78320,rajnandgaon district,0
chhattisgarh,2019,1,351495,raipur district,0
chhattisgarh,2019,1,6161,narayanpur district,0
chhattisgarh,2019,1,36502,kanker district,0
chhattisgarh,2019,1,41970,korea district,0
chhattisgarh,2019,1,26640,mungeli district,0
chhattisgarh,2019,1,184636,bilaspur district,0
chhattisgarh,2019,1,27410,balrampur district,0
chhattisgarh,2019,1,12986,bijapur district,0
chhattisgarh,2019,1,36315,bemetara district,0
chhattisgarh,2019,1,41559,bastar district,0
chhattisgarh,2019,1,19795,kondagaon district,0
chhattisgarh,2019,1,56953,mahasamund district,0
chhattisgarh,2019,2,51082,dhamtari district,244565
chhattisgarh,2019,2,119540,korba district,662066
chhattisgarh,2019,2,44750,surajpur district,235751
chhattisgarh,2019,2,84458,baloda bazar district,425931
chhattisgarh,2019,2,13471,sukma district,98219
chhattisgarh,2019,2,156178,raigarh district,865029
chhattisgarh,2019,2,147327,janjgir champa district,1438732
chhattisgarh,2019,2,41149,jashpur district,228722
chhattisgarh,2019,2,49629,balod district,240564
chhattisgarh,2019,2,43027,kabirdham district,215125
chhattisgarh,2019,2,71076,surguja district,405600
chhattisgarh,2019,2,20567,dantewada district,125417
chhattisgarh,2019,2,29595,gariyaband district,162851
chhattisgarh,2019,2,257557,durg district,1648362
chhattisgarh,2019,2,91198,rajnandgaon district,489047
chhattisgarh,2019,2,405792,raipur district,2581481
chhattisgarh,2019,2,7310,narayanpur district,49504
chhattisgarh,2019,2,42656,kanker district,254042
chhattisgarh,2019,2,47709,korea district,253724
chhattisgarh,2019,2,31068,mungeli district,152275
chhattisgarh,2019,2,209039,bilaspur district,1112112
chhattisgarh,2019,2,32072,balrampur district,214601
chhattisgarh,2019,2,15866,bijapur district,129715
chhattisgarh,2019,2,41571,bemetara district,196879
chhattisgarh,2019,2,48796,bastar district,306391
chhattisgarh,2019,2,23091,kondagaon district,131604
chhattisgarh,2019,2,65492,mahasamund district,338064
chhattisgarh,2019,3,56490,dhamtari district,810027
chhattisgarh,2019,3,131850,korba district,2213038
chhattisgarh,2019,3,49502,surajpur district,764794
chhattisgarh,2019,3,93416,baloda bazar district,1376499
chhattisgarh,2019,3,15279,sukma district,358888
chhattisgarh,2019,3,170447,raigarh district,2931974
chhattisgarh,2019,3,161232,janjgir champa district,4799392
chhattisgarh,2019,3,45820,jashpur district,746166
chhattisgarh,2019,3,54969,balod district,765025
chhattisgarh,2019,3,47753,kabirdham district,690082
chhattisgarh,2019,3,79170,surguja district,1391594
chhattisgarh,2019,3,23099,dantewada district,484093
chhattisgarh,2019,3,32332,gariyaband district,539156
chhattisgarh,2019,3,289803,durg district,6359888
chhattisgarh,2019,3,101617,rajnandgaon district,1607087
chhattisgarh,2019,3,455785,raipur district,9790726
chhattisgarh,2019,3,8433,narayanpur district,184839
chhattisgarh,2019,3,48053,kanker district,894748
chhattisgarh,2019,3,52380,korea district,850973
chhattisgarh,2019,3,34553,mungeli district,460088
chhattisgarh,2019,3,230364,bilaspur district,3912885
chhattisgarh,2019,3,35659,balrampur district,702832
chhattisgarh,2019,3,18114,bijapur district,447468
chhattisgarh,2019,3,45724,bemetara district,628499
chhattisgarh,2019,3,55159,bastar district,1064689
chhattisgarh,2019,3,26016,kondagaon district,469456
chhattisgarh,2019,3,72039,mahasamund district,1117435
chhattisgarh,2019,4,62892,dhamtari district,1008239
chhattisgarh,2019,4,147812,korba district,2916267
chhattisgarh,2019,4,56178,surajpur district,1035362
chhattisgarh,2019,4,104742,baloda bazar district,1738972
chhattisgarh,2019,4,17353,sukma district,417726
chhattisgarh,2019,4,189764,raigarh district,3695931
chhattisgarh,2019,4,180195,janjgir champa district,5052142
chhattisgarh,2019,4,52404,jashpur district,952488
chhattisgarh,2019,4,61992,balod district,973572
chhattisgarh,2019,4,53883,kabirdham district,867524
chhattisgarh,2019,4,89297,surguja district,1819241
chhattisgarh,2019,4,26072,dantewada district,563817
chhattisgarh,2019,4,35867,gariyaband district,668602
chhattisgarh,2019,4,321390,durg district,7774097
chhattisgarh,2019,4,113965,rajnandgaon district,2012284
chhattisgarh,2019,4,506122,raipur district,12048734
chhattisgarh,2019,4,9565,narayanpur district,214657
chhattisgarh,2019,4,55163,kanker district,1096822
chhattisgarh,2019,4,58350,korea district,1109403
chhattisgarh,2019,4,39349,mungeli district,594474
chhattisgarh,2019,4,257350,bilaspur district,5102876
chhattisgarh,2019,4,40750,balrampur district,945187
chhattisgarh,2019,4,20595,bijapur district,521944
chhattisgarh,2019,4,51556,bemetara district,800417
chhattisgarh,2019,4,62497,bastar district,1336400
chhattisgarh,2019,4,29904,kondagaon district,567001
chhattisgarh,2019,4,80893,mahasamund district,1444798
chhattisgarh,2020,1,69476,dhamtari district,1177494
chhattisgarh,2020,1,163500,korba district,3380235
chhattisgarh,2020,1,61965,surajpur district,1215929
chhattisgarh,2020,1,115907,baloda bazar district,2012251
chhattisgarh,2020,1,19269,sukma district,475708
chhattisgarh,2020,1,208338,raigarh district,4122100
chhattisgarh,2020,1,199431,janjgir champa district,5380445
chhattisgarh,2020,1,59351,jashpur district,1142635
chhattisgarh,2020,1,68724,balod district,1158964
chhattisgarh,2020,1,60401,kabirdham district,1057255
chhattisgarh,2020,1,98711,surguja district,2073053
chhattisgarh,2020,1,28594,dantewada district,616147
chhattisgarh,2020,1,39610,gariyaband district,776632
chhattisgarh,2020,1,353311,durg district,8458392
chhattisgarh,2020,1,126699,rajnandgaon district,2331110
chhattisgarh,2020,1,559412,raipur district,13218985
chhattisgarh,2020,1,10674,narayanpur district,243682
chhattisgarh,2020,1,61891,kanker district,1271896
chhattisgarh,2020,1,63940,korea district,1222085
chhattisgarh,2020,1,44303,mungeli district,709713
chhattisgarh,2020,1,284320,bilaspur district,5715987
chhattisgarh,2020,1,45517,balrampur district,1106067
chhattisgarh,2020,1,22680,bijapur district,585981
chhattisgarh,2020,1,57258,bemetara district,960530
chhattisgarh,2020,1,69623,bastar district,1449271
chhattisgarh,2020,1,33640,kondagaon district,683246
chhattisgarh,2020,1,89942,mahasamund district,1678308
chhattisgarh,2020,2,79474,dhamtari district,1468767
chhattisgarh,2020,2,184399,korba district,3948081
chhattisgarh,2020,2,70166,surajpur district,1405897
chhattisgarh,2020,2,134301,baloda bazar district,2668360
chhattisgarh,2020,2,21763,sukma district,549741
chhattisgarh,2020,2,233080,raigarh district,4690035
chhattisgarh,2020,2,227716,janjgir champa district,6918427
chhattisgarh,2020,2,69500,jashpur district,1452221
chhattisgarh,2020,2,79582,balod district,1524125
chhattisgarh,2020,2,70568,kabirdham district,1431151
chhattisgarh,2020,2,110765,surguja district,2058364
chhattisgarh,2020,2,32064,dantewada district,696614
chhattisgarh,2020,2,45722,gariyaband district,991698
chhattisgarh,2020,2,387874,durg district,7558938
chhattisgarh,2020,2,146098,rajnandgaon district,2708564
chhattisgarh,2020,2,616931,raipur district,11213191
chhattisgarh,2020,2,12161,narayanpur district,286793
chhattisgarh,2020,2,71514,kanker district,1475562
chhattisgarh,2020,2,71660,korea district,1446776
chhattisgarh,2020,2,52631,mungeli district,1062091
chhattisgarh,2020,2,316669,bilaspur district,5179966
chhattisgarh,2020,2,52871,balrampur district,1426830
chhattisgarh,2020,2,25534,bijapur district,653143
chhattisgarh,2020,2,67115,bemetara district,1295832
chhattisgarh,2020,2,78865,bastar district,1465913
chhattisgarh,2020,2,39518,kondagaon district,800308
chhattisgarh,2020,2,103117,mahasamund district,2115996
chhattisgarh,2020,3,89508,dhamtari district,1790640
chhattisgarh,2020,3,204448,korba district,5026826
chhattisgarh,2020,3,79907,surajpur district,1841882
chhattisgarh,2020,3,150975,baloda bazar district,3180025
chhattisgarh,2020,3,24549,sukma district,686019
chhattisgarh,2020,3,259581,raigarh district,6050750
chhattisgarh,2020,3,254275,janjgir champa district,7932461
chhattisgarh,2020,3,79728,jashpur district,1779430
chhattisgarh,2020,3,90672,balod district,1852205
chhattisgarh,2020,3,80175,kabirdham district,1675078
chhattisgarh,2020,3,124081,surguja district,2702225
chhattisgarh,2020,3,36067,dantewada district,879769
chhattisgarh,2020,3,51653,gariyaband district,1150137
chhattisgarh,2020,3,426052,durg district,9982427
chhattisgarh,2020,3,166416,rajnandgaon district,3393874
chhattisgarh,2020,3,679027,raipur district,15366190
chhattisgarh,2020,3,14025,narayanpur district,345785
chhattisgarh,2020,3,81984,kanker district,1829476
chhattisgarh,2020,3,80301,korea district,1900699
chhattisgarh,2020,3,59262,mungeli district,1136447
chhattisgarh,2020,3,349586,bilaspur district,6741931
chhattisgarh,2020,3,60953,balrampur district,1765014
chhattisgarh,2020,3,28816,bijapur district,818562
chhattisgarh,2020,3,75434,bemetara district,1493775
chhattisgarh,2020,3,89115,bastar district,1887298
chhattisgarh,2020,3,46426,kondagaon district,1027009
chhattisgarh,2020,3,116370,mahasamund district,2682672
chhattisgarh,2020,4,98847,dhamtari district,2126899
chhattisgarh,2020,4,225683,korba district,6558373
chhattisgarh,2020,4,88664,surajpur district,2246840
chhattisgarh,2020,4,166144,baloda bazar district,3814790
chhattisgarh,2020,4,27330,sukma district,815257
chhattisgarh,2020,4,285081,raigarh district,7364429
chhattisgarh,2020,4,280474,janjgir champa district,9105398
chhattisgarh,2020,4,89257,jashpur district,2102983
chhattisgarh,2020,4,100350,balod district,2189077
chhattisgarh,2020,4,88933,kabirdham district,1989496
chhattisgarh,2020,4,137221,surguja district,3521741
chhattisgarh,2020,4,39961,dantewada district,1055061
chhattisgarh,2020,4,57272,gariyaband district,1386237
chhattisgarh,2020,4,464870,durg district,13127877
chhattisgarh,2020,4,185815,rajnandgaon district,4241707
chhattisgarh,2020,4,743167,raipur district,20905346
