States,Years,Quarter,Transaction_Type,Transaction_Amount,Transaction_Count
andaman-&-nicobar-islands,2021,3,Others,1650766.1267105162,2103
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,1544932663.2744582,285778
andaman-&-nicobar-islands,2021,4,Merchant payments,322842314.62433755,210164
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,59243518.11464358,135608
andaman-&-nicobar-islands,2021,4,Financial Services,3137965.167474068,1718
andaman-&-nicobar-islands,2021,4,Others,2453640.142743944,2855
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,1682328505.7254477,342649
andaman-&-nicobar-islands,2022,1,Merchant payments,370091558.68373305,284298
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,71300133.66101266,163401
andaman-&-nicobar-islands,2022,1,Financial Services,2869682.0229511866,1757
andaman-&-nicobar-islands,2022,1,Others,2440321.9820225406,2643
andaman-&-nicobar-islands,2022,2,Merchant payments,510838980.9061847,449540
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,2088309073.4552848,437606
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,82232936.61795366,179515
andaman-&-nicobar-islands,2022,2,Financial Services,2089862.3927160464,1448
andaman-&-nicobar-islands,2022,2,Others,2449496.7081265687,3108
andaman-&-nicobar-islands,2022,3,Merchant payments,693438186.296541,716105
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,2514535154.56483,622217
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,97748065.62714244,240766
andaman-&-nicobar-islands,2022,3,Financial Services,2166304.9779766416,1814
andaman-&-nicobar-islands,2022,3,Others,2744060.670897343,3477
andaman-&-nicobar-islands,2022,4,Merchant payments,906365300.6585041,956536
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,2961630584.8271313,768758
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,110037119.66941178,256050
andaman-&-nicobar-islands,2022,4,Financial Services,3533987.2301130476,2499
andaman-&-nicobar-islands,2022,4,Others,3107412.043626394,3692
andaman-&-nicobar-islands,2023,1,Merchant payments,1008821751.0,1122063
andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,3299762230.0,862347
andaman-&-nicobar-islands,2023,1,Recharge & bill payments,146338470.0,286024
andaman-&-nicobar-islands,2023,1,Financial Services,3556954.0,2515
andaman-&-nicobar-islands,2023,1,Others,3049182.0,3443
andaman-&-nicobar-islands,2023,2,Merchant payments,1159905474.0,1410653
andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,3664415887.0,970525
andaman-&-nicobar-islands,2023,2,Recharge & bill payments,158455723.0,320922
andaman-&-nicobar-islands,2023,2,Financial Services,4161814.0,2158
andaman-&-nicobar-islands,2023,2,Others,3405338.0,3517
andaman-&-nicobar-islands,2023,3,Merchant payments,1289780198.0,1657848
andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,3757627272.0,1111211
andaman-&-nicobar-islands,2023,3,Recharge & bill payments,157992380.0,323935
andaman-&-nicobar-islands,2023,3,Financial Services,3850023.0,2199
andaman-&-nicobar-islands,2023,3,Others,2346918.0,3183
andhra-pradesh,2018,1,Recharge & bill payments,892293975.6698562,5027448
andhra-pradesh,2018,1,Peer-to-peer payments,10524250283.178782,3049646
andhra-pradesh,2018,1,Merchant payments,247297640.24000686,362672
andhra-pradesh,2018,1,Financial Services,44808449.7639544,204305
andhra-pradesh,2018,1,Others,287626042.970705,395514
andhra-pradesh,2018,2,Recharge & bill payments,1598591488.4880352,6456387
andhra-pradesh,2018,2,Peer-to-peer payments,20451493098.8953,4745000
andhra-pradesh,2018,2,Merchant payments,436785223.86032957,604847
andhra-pradesh,2018,2,Financial Services,68952114.81374599,225621
andhra-pradesh,2018,2,Others,328092346.575651,322063
andhra-pradesh,2018,3,Peer-to-peer payments,32738630444.668724,16129591
andhra-pradesh,2018,3,Recharge & bill payments,1949098146.8941927,7542005
andhra-pradesh,2018,3,Merchant payments,685277254.5076212,1225416
andhra-pradesh,2018,3,Financial Services,60790077.57437308,380324
andhra-pradesh,2018,3,Others,284248675.5700202,348725
andhra-pradesh,2018,4,Peer-to-peer payments,47011639726.13608,17580086
andhra-pradesh,2018,4,Recharge & bill payments,2418164314.470957,9767083
andhra-pradesh,2018,4,Merchant payments,1671585888.568256,2622131
andhra-pradesh,2018,4,Financial Services,57178116.40322068,400837
andhra-pradesh,2018,4,Others,315211361.26249415,389411
andhra-pradesh,2019,1,Peer-to-peer payments,77524329742.2595,37420988
andhra-pradesh,2019,1,Recharge & bill payments,3480641602.3771377,14022264
andhra-pradesh,2019,1,Merchant payments,2423536770.3706346,5043682
andhra-pradesh,2019,1,Financial Services,47150177.52982048,416325
andhra-pradesh,2019,1,Others,284937624.5393019,361263
andhra-pradesh,2019,2,Peer-to-peer payments,103924649232.47021,32494402
andhra-pradesh,2019,2,Recharge & bill payments,4708345387.9101095,14093964
andhra-pradesh,2019,2,Merchant payments,4613405202.681959,9226537
andhra-pradesh,2019,2,Financial Services,26626696.771042537,145310
andhra-pradesh,2019,2,Others,361492238.3966455,448802
andhra-pradesh,2019,3,Peer-to-peer payments,124338645329.51532,39023491
andhra-pradesh,2019,3,Recharge & bill payments,6893984676.598906,20147629
andhra-pradesh,2019,3,Merchant payments,7887394038.066369,16581787
andhra-pradesh,2019,3,Financial Services,29778183.027080443,122270
andhra-pradesh,2019,3,Others,298142027.58625776,413437
andhra-pradesh,2019,4,Peer-to-peer payments,178893550050.68753,57181511
andhra-pradesh,2019,4,Merchant payments,13476303367.50486,25122370
andhra-pradesh,2019,4,Recharge & bill payments,8335168605.691999,24469888
andhra-pradesh,2019,4,Financial Services,26796571.745749153,105662
andhra-pradesh,2019,4,Others,216496893.16102877,338672
andhra-pradesh,2020,1,Peer-to-peer payments,223088554055.04755,65452143
andhra-pradesh,2020,1,Merchant payments,18603161784.496994,31408022
andhra-pradesh,2020,1,Recharge & bill payments,10813530777.973532,30449644
andhra-pradesh,2020,1,Financial Services,43739133.169823855,75238
andhra-pradesh,2020,1,Others,188228538.37489766,292310
andhra-pradesh,2020,2,Peer-to-peer payments,262731724130.7907,73609921
andhra-pradesh,2020,2,Recharge & bill payments,16991006436.573467,41013987
andhra-pradesh,2020,2,Merchant payments,22625596525.44269,29976765
andhra-pradesh,2020,2,Financial Services,145274999.15679634,140941
andhra-pradesh,2020,2,Others,90087654.60009979,176241
andhra-pradesh,2020,3,Peer-to-peer payments,406461788252.32056,106791894
andhra-pradesh,2020,3,Merchant payments,40739580213.86052,54055557
andhra-pradesh,2020,3,Recharge & bill payments,19475104674.827175,43500067
andhra-pradesh,2020,3,Financial Services,256074924.7187529,243088
andhra-pradesh,2020,3,Others,151582519.18136686,312329
andhra-pradesh,2020,4,Peer-to-peer payments,566639138543.7708,152003791
andhra-pradesh,2020,4,Merchant payments,66654048149.95168,86581460
andhra-pradesh,2020,4,Recharge & bill payments,20936337211.557747,46810304
andhra-pradesh,2020,4,Financial Services,305168772.45601684,265470
andhra-pradesh,2020,4,Others,306853355.59473807,457527
andhra-pradesh,2021,1,Peer-to-peer payments,580542193013.0018,149313738
andhra-pradesh,2021,1,Merchant payments,70813192713.43477,97920281
andhra-pradesh,2021,1,Recharge & bill payments,20546424964.14482,41940689
andhra-pradesh,2021,1,Financial Services,270313028.48452014,225355
andhra-pradesh,2021,1,Others,272546457.5502677,347907
andhra-pradesh,2021,2,Peer-to-peer payments,737004484057.439,189614879
andhra-pradesh,2021,2,Merchant payments,88512429436.91248,112875274
andhra-pradesh,2021,2,Recharge & bill payments,24646800345.106976,49626902
andhra-pradesh,2021,2,Financial Services,265483044.40124667,243237
andhra-pradesh,2021,2,Others,308302224.3856007,406842
andhra-pradesh,2021,3,Peer-to-peer payments,837841124664.307,221280317
andhra-pradesh,2021,3,Merchant payments,118164377968.16754,158290953
andhra-pradesh,2021,3,Recharge & bill payments,27511344958.24361,51702350
andhra-pradesh,2021,3,Financial Services,297239697.83073866,211171
andhra-pradesh,2021,3,Others,403948275.56756073,547759
andhra-pradesh,2021,4,Peer-to-peer payments,971269765249.1282,262006450
andhra-pradesh,2021,4,Merchant payments,152883933596.5386,207538904
andhra-pradesh,2021,4,Recharge & bill payments,31232784713.985794,51762842
andhra-pradesh,2021,4,Financial Services,332740108.6635881,243951
andhra-pradesh,2021,4,Others,545223415.6638832,701856
andhra-pradesh,2022,1,Peer-to-peer payments,1089629182596.4781,288488560
andhra-pradesh,2022,1,Merchant payments,169419685917.19562,242031836
andhra-pradesh,2022,1,Recharge & bill payments,34473036841.83001,51224170
andhra-pradesh,2022,1,Financial Services,324358965.11859065,231651
andhra-pradesh,2022,1,Others,474382234.25397474,627694
andhra-pradesh,2022,2,Peer-to-peer payments,1231408926513.7114,321362337
andhra-pradesh,2022,2,Merchant payments,205433660654.20898,292530048
andhra-pradesh,2022,2,Recharge & bill payments,42408541939.06145,56606969
andhra-pradesh,2022,2,Financial Services,245783011.04455262,192751
andhra-pradesh,2022,2,Others,357036084.9071137,441925
andhra-pradesh,2022,3,Peer-to-peer payments,1140164525892.7397,298804000
andhra-pradesh,2022,3,Merchant payments,202910820650.0824,291033653
andhra-pradesh,2022,3,Recharge & bill payments,41438764826.20322,52467708
andhra-pradesh,2022,3,Financial Services,239347241.54655045,187190
andhra-pradesh,2022,3,Others,323951101.5715289,362484
andhra-pradesh,2022,4,Merchant payments,211898851397.09848,321632104
andhra-pradesh,2022,4,Peer-to-peer payments,1170249585983.0112,315734006
andhra-pradesh,2022,4,Recharge & bill payments,41986837706.47902,52098850
andhra-pradesh,2022,4,Financial Services,250596592.06465048,206459
andhra-pradesh,2022,4,Others,339211363.0027188,345658
andhra-pradesh,2023,1,Merchant payments,311606731877.0,540680395
andhra-pradesh,2023,1,Peer-to-peer payments,1857818168755.0,514931308
andhra-pradesh,2023,1,Recharge & bill payments,78817989795.0,89143939
andhra-pradesh,2023,1,Financial Services,331233097.0,288150
andhra-pradesh,2023,1,Others,477193006.0,488672
andhra-pradesh,2023,2,Merchant payments,349602824539.0,634303064
andhra-pradesh,2023,2,Peer-to-peer payments,2067288068882.0,573455382
andhra-pradesh,2023,2,Recharge & bill payments,88352183038.0,97202487
andhra-pradesh,2023,2,Financial Services,386071375.0,316533
andhra-pradesh,2023,2,Others,409939082.0,379498
andhra-pradesh,2023,3,Merchant payments,395042164275.0,750265405
andhra-pradesh,2023,3,Peer-to-peer payments,2163464730936.0,623202203
andhra-pradesh,2023,3,Recharge & bill payments,94077774967.0,101000645
andhra-pradesh,2023,3,Financial Services,466791218.0,361584
andhra-pradesh,2023,3,Others,362636702.0,334566
arunachal-pradesh,2018,1,Recharge & bill payments,5184132.514934338,28729
arunachal-pradesh,2018,1,Peer-to-peer payments,82889682.72418305,13320
arunachal-pradesh,2018,1,Merchant payments,2420374.1905855755,1042
arunachal-pradesh,2018,1,Financial Services,58893.76201533088,416
arunachal-pradesh,2018,1,Others,1834252.8176908877,1990
arunachal-pradesh,2018,2,Recharge & bill payments,10468878.537107183,50700
arunachal-pradesh,2018,2,Peer-to-peer payments,181576281.19464755,26477
arunachal-pradesh,2018,2,Merchant payments,4718953.439561011,2378
arunachal-pradesh,2018,2,Financial Services,363761.80159549194,559
arunachal-pradesh,2018,2,Others,1842317.3691352482,2043
arunachal-pradesh,2018,3,Recharge & bill payments,15997565.906016497,74122
arunachal-pradesh,2018,3,Peer-to-peer payments,308106303.45342577,49740
arunachal-pradesh,2018,3,Merchant payments,5505694.567913429,4738
arunachal-pradesh,2018,3,Financial Services,72133.845254878,507
arunachal-pradesh,2018,3,Others,2044708.9687807972,2039
arunachal-pradesh,2018,4,Recharge & bill payments,20662691.882313278,97751
arunachal-pradesh,2018,4,Peer-to-peer payments,468831493.2328036,68169
arunachal-pradesh,2018,4,Merchant payments,11998974.1040326,7726
arunachal-pradesh,2018,4,Financial Services,100597.90379906222,561
arunachal-pradesh,2018,4,Others,2446271.9688117937,2222
arunachal-pradesh,2019,1,Recharge & bill payments,26796894.998233315,121303
arunachal-pradesh,2019,1,Peer-to-peer payments,568554821.4456317,93494
arunachal-pradesh,2019,1,Merchant payments,11727218.401334248,9214
arunachal-pradesh,2019,1,Financial Services,140622.87093631705,256
arunachal-pradesh,2019,1,Others,2730548.5978140826,2239
arunachal-pradesh,2019,2,Recharge & bill payments,30420803.41271234,131988
arunachal-pradesh,2019,2,Peer-to-peer payments,704237943.4054435,106527
arunachal-pradesh,2019,2,Merchant payments,13955724.130712911,16828
arunachal-pradesh,2019,2,Financial Services,160660.8821362781,267
arunachal-pradesh,2019,2,Others,3880742.524023137,3046
arunachal-pradesh,2019,3,Recharge & bill payments,50946104.94289842,216228
arunachal-pradesh,2019,3,Peer-to-peer payments,841037395.2474606,133484
arunachal-pradesh,2019,3,Merchant payments,17178248.07427002,16900
arunachal-pradesh,2019,3,Financial Services,64089.11350267195,864
arunachal-pradesh,2019,3,Others,3419197.4177385764,2758
arunachal-pradesh,2019,4,Recharge & bill payments,63516906.09060433,259183
arunachal-pradesh,2019,4,Peer-to-peer payments,1100137447.9340453,177833
arunachal-pradesh,2019,4,Merchant payments,23192271.691576812,19769
arunachal-pradesh,2019,4,Financial Services,305379.7987782319,314
arunachal-pradesh,2019,4,Others,3421174.01227797,2376
arunachal-pradesh,2020,1,Recharge & bill payments,86011654.77474582,329834
arunachal-pradesh,2020,1,Peer-to-peer payments,1263912288.4066367,203429
arunachal-pradesh,2020,1,Merchant payments,28553052.133918796,31181
arunachal-pradesh,2020,1,Financial Services,337812.94816169393,470
arunachal-pradesh,2020,1,Others,2943873.0666838237,2261
