States,Years,Quarter,Transaction_Type,Transaction_Amount,Transaction_Count
goa,2019,1,Others,9904147.90979165,8147
goa,2019,2,Peer-to-peer payments,1391933790.7547765,373759
goa,2019,2,Recharge & bill payments,93218689.41694948,278060
goa,2019,2,Merchant payments,92873008.6474504,104592
goa,2019,2,Financial Services,515859.8076807977,1211
goa,2019,2,Others,13325754.760758925,10819
goa,2019,3,Peer-to-peer payments,1704668027.0159788,475178
goa,2019,3,Recharge & bill payments,157952854.9501171,453806
goa,2019,3,Merchant payments,123948570.56857497,150578
goa,2019,3,Financial Services,1282344.8444824044,1510
goa,2019,3,Others,12515394.117688328,11344
goa,2019,4,Peer-to-peer payments,2484453030.31845,698728
goa,2019,4,Recharge & bill payments,205602115.14625147,552421
goa,2019,4,Merchant payments,218404664.8638511,250893
goa,2019,4,Financial Services,649712.8451498008,1497
goa,2019,4,Others,14350825.325765317,11733
goa,2020,1,Peer-to-peer payments,2851686768.653684,817198
goa,2020,1,Recharge & bill payments,244739382.20701858,678079
goa,2020,1,Merchant payments,298421548.1046571,373110
goa,2020,1,Financial Services,1816477.5692472362,1762
goa,2020,1,Others,13707055.389155574,11088
goa,2020,2,Recharge & bill payments,241196540.9379891,758617
goa,2020,2,Peer-to-peer payments,1766723888.2025127,493326
goa,2020,2,Merchant payments,168591711.94693565,221358
goa,2020,2,Financial Services,3328361.317987765,3081
goa,2020,2,Others,3775927.611346662,5710
goa,2020,3,Peer-to-peer payments,2723430713.3444066,759351
goa,2020,3,Recharge & bill payments,280187505.0339355,696770
goa,2020,3,Merchant payments,353193881.4783259,446880
goa,2020,3,Financial Services,6418950.466847964,4985
goa,2020,3,Others,5112530.621144422,7545
goa,2020,4,Peer-to-peer payments,5407626413.043346,1550251
goa,2020,4,Merchant payments,1123844212.5171819,1389834
goa,2020,4,Recharge & bill payments,345088772.3784919,839199
goa,2020,4,Financial Services,10386560.386677971,7287
goa,2020,4,Others,12846789.254236266,14810
goa,2021,1,Peer-to-peer payments,7553384653.1682,2235456
goa,2021,1,Merchant payments,1768358976.7158575,2195509
goa,2021,1,Recharge & bill payments,410604192.7268899,880682
goa,2021,1,Financial Services,12207778.148638733,8138
goa,2021,1,Others,12687278.26183929,11764
goa,2021,2,Merchant payments,1411529033.6650195,1869384
goa,2021,2,Peer-to-peer payments,6195032351.177256,1866837
goa,2021,2,Recharge & bill payments,383804809.3560881,953219
goa,2021,2,Financial Services,12371843.844825167,8303
goa,2021,2,Others,10115549.032816991,12392
goa,2021,3,Merchant payments,2143135314.897931,2865625
goa,2021,3,Peer-to-peer payments,7871092673.137299,2560305
goa,2021,3,Recharge & bill payments,438838003.22982365,1017351
goa,2021,3,Financial Services,12943224.07382146,8337
goa,2021,3,Others,12416377.597493527,16145
goa,2021,4,Merchant payments,4384250602.937038,5474662
goa,2021,4,Peer-to-peer payments,13618351952.666094,4408822
goa,2021,4,Recharge & bill payments,585734312.4063727,1170180
goa,2021,4,Financial Services,17101084.66037453,11320
goa,2021,4,Others,21819163.1997744,23775
goa,2022,1,Merchant payments,4682000388.389215,6364271
goa,2022,1,Peer-to-peer payments,14449830641.555716,4640380
goa,2022,1,Recharge & bill payments,646403472.1135541,1177071
goa,2022,1,Financial Services,17490493.19245399,11677
goa,2022,1,Others,20720407.595174044,20699
goa,2022,2,Merchant payments,5736211013.6866455,7812998
goa,2022,2,Peer-to-peer payments,16372343177.228306,5097942
goa,2022,2,Recharge & bill payments,738765635.2807853,1279377
goa,2022,2,Financial Services,13192736.02810038,10666
goa,2022,2,Others,12525197.296362752,15071
goa,2022,3,Merchant payments,5112175255.359402,7595135
goa,2022,3,Peer-to-peer payments,13780955270.352726,4449008
goa,2022,3,Recharge & bill payments,657115143.5357426,1122869
goa,2022,3,Financial Services,12650738.420843877,9992
goa,2022,3,Others,11368868.03761505,11683
goa,2022,4,Merchant payments,6739205748.43176,10319138
goa,2022,4,Peer-to-peer payments,17421974714.962345,5652373
goa,2022,4,Recharge & bill payments,734121700.6400625,1195865
goa,2022,4,Financial Services,15705663.126967767,12147
goa,2022,4,Others,13978544.178016864,13151
goa,2023,1,Merchant payments,9074816758.0,14273665
goa,2023,1,Peer-to-peer payments,24773922296.0,8071768
goa,2023,1,Recharge & bill payments,1197558557.0,1816029
goa,2023,1,Financial Services,32648574.0,16209
goa,2023,1,Others,18019590.0,17399
goa,2023,2,Merchant payments,10146039934.0,15990744
goa,2023,2,Peer-to-peer payments,26985284919.0,8589659
goa,2023,2,Recharge & bill payments,1239783487.0,1917200
goa,2023,2,Financial Services,25141843.0,17352
goa,2023,2,Others,15956760.0,15635
goa,2023,3,Merchant payments,10365884105.0,16565190
goa,2023,3,Peer-to-peer payments,25735484138.0,8489945
goa,2023,3,Recharge & bill payments,1234664127.0,1913363
goa,2023,3,Financial Services,26274694.0,17422
goa,2023,3,Others,12872910.0,13808
gujarat,2018,1,Recharge & bill payments,878929080.9916563,3691952
gujarat,2018,1,Peer-to-peer payments,6318864759.888066,1738974
gujarat,2018,1,Merchant payments,166036667.57089135,145436
gujarat,2018,1,Financial Services,27986679.009713165,122117
gujarat,2018,1,Others,186165067.5737218,250296
gujarat,2018,2,Recharge & bill payments,1571880396.377953,4643367
gujarat,2018,2,Peer-to-peer payments,10009680530.386887,2483231
gujarat,2018,2,Merchant payments,356984574.1205573,275503
gujarat,2018,2,Financial Services,38598263.22838031,140704
gujarat,2018,2,Others,185541007.527258,202928
gujarat,2018,3,Peer-to-peer payments,15272745137.759302,5287200
gujarat,2018,3,Recharge & bill payments,1938041688.9678535,5117168
gujarat,2018,3,Merchant payments,466209496.80151117,573440
gujarat,2018,3,Financial Services,24930605.607339725,136468
gujarat,2018,3,Others,164477497.1394802,219873
gujarat,2018,4,Peer-to-peer payments,21207285184.780193,6488202
gujarat,2018,4,Recharge & bill payments,2297332323.0815277,6138404
gujarat,2018,4,Merchant payments,1088373316.0580251,1656377
gujarat,2018,4,Financial Services,30699273.16507,133915
gujarat,2018,4,Others,207297005.69778407,316405
gujarat,2019,1,Peer-to-peer payments,31231285551.308655,13465044
gujarat,2019,1,Recharge & bill payments,3104251732.6516943,8595256
gujarat,2019,1,Merchant payments,1296376125.1752787,2493340
gujarat,2019,1,Financial Services,19581520.569400217,114539
gujarat,2019,1,Others,204585378.77191538,323272
gujarat,2019,2,Peer-to-peer payments,41853661230.46585,12547493
gujarat,2019,2,Recharge & bill payments,4651874823.428602,10434449
gujarat,2019,2,Merchant payments,2526448415.3585706,5486791
gujarat,2019,2,Financial Services,17349813.389733132,70502
gujarat,2019,2,Others,271280936.6247084,442607
gujarat,2019,3,Peer-to-peer payments,49206585462.018684,14529353
gujarat,2019,3,Merchant payments,4211116461.2911887,11788077
gujarat,2019,3,Recharge & bill payments,5768100024.478059,11349625
gujarat,2019,3,Financial Services,20507001.233050577,78609
gujarat,2019,3,Others,256386015.24681717,482985
gujarat,2019,4,Peer-to-peer payments,64477452638.7778,19107911
gujarat,2019,4,Recharge & bill payments,6517891166.722656,12967713
gujarat,2019,4,Merchant payments,5480269119.720948,9964076
gujarat,2019,4,Financial Services,20202767.26414788,63498
gujarat,2019,4,Others,194846362.42851496,444434
gujarat,2020,1,Peer-to-peer payments,72393727235.07784,19068093
gujarat,2020,1,Recharge & bill payments,7197595156.690899,15648472
gujarat,2020,1,Merchant payments,7210758662.281933,12191478
gujarat,2020,1,Financial Services,27460255.45966168,50753
gujarat,2020,1,Others,165535312.39278784,367621
gujarat,2020,2,Recharge & bill payments,8322688556.990006,19971660
gujarat,2020,2,Peer-to-peer payments,64723140394.22913,17569398
gujarat,2020,2,Merchant payments,7196610931.561442,9645967
gujarat,2020,2,Financial Services,53132341.305008195,59617
gujarat,2020,2,Others,92274135.40504411,173543
gujarat,2020,3,Peer-to-peer payments,89142122337.25531,23130724
gujarat,2020,3,Merchant payments,12749796641.785404,18338969
gujarat,2020,3,Recharge & bill payments,9820654243.80882,17481357
gujarat,2020,3,Financial Services,84723188.62104335,92278
gujarat,2020,3,Others,124456073.24163358,246851
gujarat,2020,4,Peer-to-peer payments,116743230330.36209,29967258
gujarat,2020,4,Merchant payments,20844321156.652935,28430460
gujarat,2020,4,Recharge & bill payments,10441981826.080866,18943669
gujarat,2020,4,Financial Services,120056733.8865249,113371
gujarat,2020,4,Others,243470065.45681778,373789
gujarat,2021,1,Peer-to-peer payments,144818968373.02933,36427493
gujarat,2021,1,Merchant payments,26512643894.003174,35815382
gujarat,2021,1,Recharge & bill payments,11996115292.377842,22088838
gujarat,2021,1,Financial Services,137612317.73580322,126380
gujarat,2021,1,Others,235440836.3042438,316472
gujarat,2021,2,Merchant payments,33542305033.829506,42593432
gujarat,2021,2,Peer-to-peer payments,162483567902.30194,41642387
gujarat,2021,2,Recharge & bill payments,13750783181.944221,27127405
gujarat,2021,2,Financial Services,136119996.7022825,128647
gujarat,2021,2,Others,249278437.33914098,349525
gujarat,2021,3,Merchant payments,48197579736.51646,62934471
gujarat,2021,3,Peer-to-peer payments,208013326600.62402,56134212
gujarat,2021,3,Recharge & bill payments,15945997372.058683,29580901
gujarat,2021,3,Financial Services,163304131.1436523,125167
gujarat,2021,3,Others,304418273.24545926,473656
gujarat,2021,4,Merchant payments,68717933161.8696,84846502
gujarat,2021,4,Peer-to-peer payments,254338740726.63605,67301686
gujarat,2021,4,Recharge & bill payments,18739034341.66239,30072479
gujarat,2021,4,Financial Services,209214620.7057898,175393
gujarat,2021,4,Others,377657202.7539646,591265
gujarat,2022,1,Merchant payments,79563412221.78397,101648378
gujarat,2022,1,Peer-to-peer payments,292439274688.30835,77768758
gujarat,2022,1,Recharge & bill payments,20042066374.66357,30473298
gujarat,2022,1,Financial Services,187077879.38466492,160423
gujarat,2022,1,Others,316261089.4073821,496289
gujarat,2022,2,Merchant payments,95585623258.23604,131610193
gujarat,2022,2,Peer-to-peer payments,326945780476.59766,86423696
gujarat,2022,2,Recharge & bill payments,23844933238.40894,33424931
gujarat,2022,2,Financial Services,142685436.4192669,125180
gujarat,2022,2,Others,278978567.1836352,468796
gujarat,2022,3,Merchant payments,109018764232.99393,161264265
gujarat,2022,3,Peer-to-peer payments,359338045092.0105,103034790
gujarat,2022,3,Recharge & bill payments,28649040040.502144,38383683
gujarat,2022,3,Financial Services,162173602.84596294,152053
gujarat,2022,3,Others,269479241.0969004,404941
gujarat,2022,4,Merchant payments,125585214989.03009,186533503
gujarat,2022,4,Peer-to-peer payments,411053364214.2685,114868478
gujarat,2022,4,Recharge & bill payments,30789927498.953297,39167297
gujarat,2022,4,Financial Services,194314203.00804448,179101
gujarat,2022,4,Others,295484431.2780074,407639
gujarat,2023,1,Merchant payments,123421554216.0,199359623
gujarat,2023,1,Peer-to-peer payments,436337923470.0,120907384
gujarat,2023,1,Recharge & bill payments,37570733166.0,41649002
gujarat,2023,1,Financial Services,200278806.0,180163
gujarat,2023,1,Others,295699148.0,415154
gujarat,2023,2,Merchant payments,135256737974.0,239396654
gujarat,2023,2,Peer-to-peer payments,470150906708.0,132035120
gujarat,2023,2,Recharge & bill payments,39506073738.0,44902296
gujarat,2023,2,Financial Services,225104195.0,191053
gujarat,2023,2,Others,268385910.0,397430
gujarat,2023,3,Merchant payments,155597205179.0,279651861
gujarat,2023,3,Peer-to-peer payments,508236930735.0,151754885
gujarat,2023,3,Recharge & bill payments,43342854631.0,47284770
gujarat,2023,3,Financial Services,311377540.0,246300
gujarat,2023,3,Others,248668365.0,365774
haryana,2018,1,Recharge & bill payments,535578755.07945114,2368002
haryana,2018,1,Peer-to-peer payments,5814807510.68666,1607193
haryana,2018,1,Merchant payments,173513595.3537558,167816
haryana,2018,1,Financial Services,27501068.014126316,128636
haryana,2018,1,Others,242110585.52640373,209123
haryana,2018,2,Recharge & bill payments,984897276.651981,3054284
haryana,2018,2,Peer-to-peer payments,9745924809.851494,2388953
haryana,2018,2,Merchant payments,334118261.45344114,369916
haryana,2018,2,Financial Services,38145882.44180386,167570
haryana,2018,2,Others,217328211.71769944,170208
haryana,2018,3,Peer-to-peer payments,14429454356.345787,3753981
haryana,2018,3,Recharge & bill payments,1310467515.0605886,3203386
haryana,2018,3,Merchant payments,427387637.9335371,1003057
haryana,2018,3,Financial Services,17323790.814170156,100452
haryana,2018,3,Others,190505707.47361812,201148
haryana,2018,4,Peer-to-peer payments,22416919746.93868,5905032
haryana,2018,4,Recharge & bill payments,1671040703.7317612,4116262
haryana,2018,4,Merchant payments,1013407379.8963095,2413446
haryana,2018,4,Financial Services,22252543.62175617,120711
haryana,2018,4,Others,267255642.26742023,394732
haryana,2019,1,Peer-to-peer payments,30283578836.61907,12622225
haryana,2019,1,Recharge & bill payments,2202061874.5361757,5576577
haryana,2019,1,Merchant payments,1292375556.3150868,3361995
haryana,2019,1,Financial Services,15201736.002431491,101786
haryana,2019,1,Others,258437718.15887585,473192
haryana,2019,2,Peer-to-peer payments,37056084813.57578,10387562
haryana,2019,2,Recharge & bill payments,2838724048.0896106,5902923
haryana,2019,2,Merchant payments,2292901816.1432047,5738283
haryana,2019,2,Financial Services,12080285.227121718,57488
haryana,2019,2,Others,301748850.1804938,655560
haryana,2019,3,Peer-to-peer payments,43738290119.9285,11775288
haryana,2019,3,Merchant payments,3615636827.8118167,9386779
haryana,2019,3,Recharge & bill payments,4817098564.823641,8289987
haryana,2019,3,Financial Services,16715100.880217994,61503
haryana,2019,3,Others,301378585.9978597,829974
haryana,2019,4,Peer-to-peer payments,58242027266.14443,15729819
haryana,2019,4,Merchant payments,5253780278.236426,11615667
haryana,2019,4,Recharge & bill payments,5637358525.756194,9648003
haryana,2019,4,Financial Services,13756049.144287623,41688
haryana,2019,4,Others,212797749.81994924,790808
haryana,2020,1,Peer-to-peer payments,68367245528.07149,17728235
haryana,2020,1,Merchant payments,7075196609.224878,14327020
haryana,2020,1,Recharge & bill payments,6331682016.516322,11346112
haryana,2020,1,Financial Services,25266730.1883267,34488
haryana,2020,1,Others,176823674.24305555,600232
haryana,2020,2,Peer-to-peer payments,66645492690.67839,17334369
haryana,2020,2,Recharge & bill payments,6547618491.532405,12740328
haryana,2020,2,Merchant payments,7393393677.758501,11527654
haryana,2020,2,Financial Services,49209527.29146181,48759
haryana,2020,2,Others,75550536.67993587,129940
haryana,2020,3,Peer-to-peer payments,88796356487.11024,24123449
haryana,2020,3,Merchant payments,12141560866.982178,20845136
haryana,2020,3,Recharge & bill payments,8452802892.504496,12716319
haryana,2020,3,Financial Services,80854296.9304013,66457
haryana,2020,3,Others,96375902.20346308,186818
haryana,2020,4,Merchant payments,21382305452.06797,34063692
haryana,2020,4,Peer-to-peer payments,128613933346.85507,33920789
haryana,2020,4,Recharge & bill payments,9675471300.731653,14682896
haryana,2020,4,Financial Services,103265693.75364488,84881
haryana,2020,4,Others,223528573.1334415,419181
haryana,2021,1,Merchant payments,23389100227.155342,39363588
haryana,2021,1,Peer-to-peer payments,135970636784.61835,36764622
haryana,2021,1,Recharge & bill payments,9260346909.440674,13680353
haryana,2021,1,Financial Services,99672809.99228218,79784
haryana,2021,1,Others,218544351.22172093,364437
haryana,2021,2,Merchant payments,29119078263.957985,45335533
haryana,2021,2,Peer-to-peer payments,161073685336.6668,44086559
haryana,2021,2,Recharge & bill payments,9839496894.971409,15861047
haryana,2021,2,Financial Services,97238136.09517692,85821
haryana,2021,2,Others,227855606.99266592,311896
haryana,2021,3,Merchant payments,40190922826.60629,66885213
haryana,2021,3,Peer-to-peer payments,188548678300.5247,55929958
haryana,2021,3,Recharge & bill payments,11681457468.964512,17087955
haryana,2021,3,Financial Services,116592181.46997279,77496
haryana,2021,3,Others,289441481.64370304,479071
haryana,2021,4,Merchant payments,56325102920.50671,84993587
haryana,2021,4,Peer-to-peer payments,238638993818.09595,66548306
haryana,2021,4,Recharge & bill payments,13817258646.066364,17632752
haryana,2021,4,Financial Services,151421306.61683068,105050
haryana,2021,4,Others,307822609.17479354,407280
haryana,2022,1,Merchant payments,62565728158.2885,98346418
haryana,2022,1,Peer-to-peer payments,263547240999.68338,74499889
haryana,2022,1,Recharge & bill payments,14765350795.965681,18494827
haryana,2022,1,Financial Services,146586164.62792295,107240
haryana,2022,1,Others,279136534.21161634,540235
haryana,2022,2,Merchant payments,76926347115.76375,130033573
haryana,2022,2,Peer-to-peer payments,300504797205.2718,84219451
haryana,2022,2,Recharge & bill payments,17457331653.445232,20011709
haryana,2022,2,Financial Services,120610061.5284536,89805
haryana,2022,2,Others,224949213.49711913,345424
haryana,2022,3,Merchant payments,87063736519.87311,151278013
haryana,2022,3,Peer-to-peer payments,319374569105.9015,95071203
haryana,2022,3,Recharge & bill payments,21247984018.682095,22592966
haryana,2022,3,Financial Services,144937203.2864578,111032
haryana,2022,3,Others,223267730.28330007,308596
haryana,2022,4,Merchant payments,102918159834.12416,169685872
haryana,2022,4,Peer-to-peer payments,364514204185.1917,102993798
haryana,2022,4,Recharge & bill payments,22666085169.84729,23545059
haryana,2022,4,Financial Services,152488074.9943577,118488
haryana,2022,4,Others,239722615.94605047,305148
haryana,2023,1,Merchant payments,114248076004.0,220693824
haryana,2023,1,Peer-to-peer payments,443424820679.0,128879993
haryana,2023,1,Recharge & bill payments,32978369763.0,31210728
haryana,2023,1,Financial Services,217615573.0,158036
haryana,2023,1,Others,281741717.0,375883
haryana,2023,2,Merchant payments,130133751625.0,275974807
haryana,2023,2,Peer-to-peer payments,495834929236.0,147382711
haryana,2023,2,Recharge & bill payments,35262651840.0,33655091
haryana,2023,2,Financial Services,259162565.0,172309
haryana,2023,2,Others,251633370.0,351272
haryana,2023,3,Merchant payments,140917418482.0,310148821
haryana,2023,3,Peer-to-peer payments,498555993196.0,156760079
haryana,2023,3,Recharge & bill payments,37490386949.0,34105227
haryana,2023,3,Financial Services,304618547.0,198713
haryana,2023,3,Others,223563566.0,306638
himachal-pradesh,2018,1,Recharge & bill payments,49871175.82607427,284371
himachal-pradesh,2018,1,Peer-to-peer payments,546222027.4835303,154572
himachal-pradesh,2018,1,Merchant payments,13851230.83495245,13241
himachal-pradesh,2018,1,Financial Services,2040522.724771278,8955
himachal-pradesh,2018,1,Others,16752849.503009535,20779
himachal-pradesh,2018,2,Recharge & bill payments,83714322.414042,385642
himachal-pradesh,2018,2,Peer-to-peer payments,1043702964.1513071,243436
himachal-pradesh,2018,2,Merchant payments,31961300.882765952,27851
himachal-pradesh,2018,2,Financial Services,4108919.3075577794,11330
himachal-pradesh,2018,2,Others,19681794.59544668,19436
himachal-pradesh,2018,3,Recharge & bill payments,108456077.51862916,457449
himachal-pradesh,2018,3,Peer-to-peer payments,1596570994.985427,362755
himachal-pradesh,2018,3,Merchant payments,31168155.22193054,40675
himachal-pradesh,2018,3,Financial Services,1552275.0537747287,8182
himachal-pradesh,2018,3,Others,16293930.078267336,17693
himachal-pradesh,2018,4,Recharge & bill payments,143031082.4432017,598325
himachal-pradesh,2018,4,Peer-to-peer payments,2367228879.4462624,590518
himachal-pradesh,2018,4,Merchant payments,87575811.80014335,86963
himachal-pradesh,2018,4,Financial Services,2283052.790977265,11834
himachal-pradesh,2018,4,Others,21180141.658664487,20243
himachal-pradesh,2019,1,Peer-to-peer payments,3066233587.9236507,1178280
himachal-pradesh,2019,1,Recharge & bill payments,209521987.03977025,844570
himachal-pradesh,2019,1,Merchant payments,86624660.3112043,115553
himachal-pradesh,2019,1,Financial Services,1424229.9989233727,9585
himachal-pradesh,2019,1,Others,17676977.717503674,20730
himachal-pradesh,2019,2,Peer-to-peer payments,4428007670.958708,1141873
himachal-pradesh,2019,2,Recharge & bill payments,279864579.97562265,1076793
himachal-pradesh,2019,2,Merchant payments,141088575.8726466,248517
himachal-pradesh,2019,2,Financial Services,1453651.5352588107,5013
himachal-pradesh,2019,2,Others,25469495.268363245,30110
himachal-pradesh,2019,3,Recharge & bill payments,327570066.9967147,1212659
himachal-pradesh,2019,3,Peer-to-peer payments,5039276845.295213,1181680
himachal-pradesh,2019,3,Merchant payments,182746198.16430056,312575
himachal-pradesh,2019,3,Financial Services,1775673.9713265826,3096
himachal-pradesh,2019,3,Others,20649996.69578039,25170
himachal-pradesh,2019,4,Peer-to-peer payments,6533855301.069828,1579582
himachal-pradesh,2019,4,Recharge & bill payments,402619114.99428564,1442940
himachal-pradesh,2019,4,Merchant payments,314965060.6352696,467309
himachal-pradesh,2019,4,Financial Services,1769641.9665086274,4576
himachal-pradesh,2019,4,Others,17954418.582290154,22239
himachal-pradesh,2020,1,Recharge & bill payments,542356756.9678606,1815157
himachal-pradesh,2020,1,Peer-to-peer payments,6431826925.118802,1594806
himachal-pradesh,2020,1,Merchant payments,427497010.10439825,711018
himachal-pradesh,2020,1,Financial Services,3172303.6900622216,4711
himachal-pradesh,2020,1,Others,14613755.241563875,18788
himachal-pradesh,2020,2,Recharge & bill payments,802231470.1628922,2558935
himachal-pradesh,2020,2,Peer-to-peer payments,6738488218.640328,1544488
himachal-pradesh,2020,2,Merchant payments,479165630.6102103,570031
himachal-pradesh,2020,2,Financial Services,7359757.737539303,7634
himachal-pradesh,2020,2,Others,9659685.392965626,14642
himachal-pradesh,2020,3,Recharge & bill payments,834567922.2742614,2416395
himachal-pradesh,2020,3,Peer-to-peer payments,8806586536.659174,1954492
himachal-pradesh,2020,3,Merchant payments,851539467.337558,1090445
himachal-pradesh,2020,3,Financial Services,11391079.288736572,9543
himachal-pradesh,2020,3,Others,11969008.527252048,19001
himachal-pradesh,2020,4,Recharge & bill payments,936305777.7250878,2638030
himachal-pradesh,2020,4,Peer-to-peer payments,11426268857.229637,2594659
himachal-pradesh,2020,4,Merchant payments,1589433440.2684097,2001259
himachal-pradesh,2020,4,Financial Services,15534252.217986543,11353
himachal-pradesh,2020,4,Others,21510781.37178286,27027
himachal-pradesh,2021,1,Peer-to-peer payments,11358078843.572702,2845733
himachal-pradesh,2021,1,Recharge & bill payments,948929031.6443391,2547359
himachal-pradesh,2021,1,Merchant payments,1778219850.8347864,2186946
himachal-pradesh,2021,1,Financial Services,16554205.504427344,12561
himachal-pradesh,2021,1,Others,18764977.931273177,21430
himachal-pradesh,2021,2,Peer-to-peer payments,13035543546.66397,3340531
himachal-pradesh,2021,2,Recharge & bill payments,1045789841.916208,3216602
himachal-pradesh,2021,2,Merchant payments,2378084375.199477,2883209
himachal-pradesh,2021,2,Financial Services,16428390.62373627,14642
himachal-pradesh,2021,2,Others,19788385.405835297,28918
himachal-pradesh,2021,3,Peer-to-peer payments,16560383923.204865,4455153
himachal-pradesh,2021,3,Merchant payments,3524434949.634083,4198808
himachal-pradesh,2021,3,Recharge & bill payments,1178802736.5280356,3359406
himachal-pradesh,2021,3,Financial Services,22805774.600357123,14497
himachal-pradesh,2021,3,Others,23834687.160697926,36303
himachal-pradesh,2021,4,Merchant payments,5228613146.743451,6062931
himachal-pradesh,2021,4,Peer-to-peer payments,19568394324.584805,5323397
himachal-pradesh,2021,4,Recharge & bill payments,1278824361.837138,3211367
himachal-pradesh,2021,4,Financial Services,24809740.714031782,18198
himachal-pradesh,2021,4,Others,35578926.74639452,50971
himachal-pradesh,2022,1,Merchant payments,5558905677.966259,7030946
himachal-pradesh,2022,1,Peer-to-peer payments,19473276901.331963,5718936
himachal-pradesh,2022,1,Recharge & bill payments,1429960686.7669475,3271665
himachal-pradesh,2022,1,Financial Services,24442138.15399971,19314
himachal-pradesh,2022,1,Others,31862035.713640407,47319
himachal-pradesh,2022,2,Merchant payments,7697399368.089639,10591420
himachal-pradesh,2022,2,Peer-to-peer payments,24407668318.014194,7109948
himachal-pradesh,2022,2,Recharge & bill payments,1553155243.3951051,3520538
himachal-pradesh,2022,2,Financial Services,20627276.079190243,16901
himachal-pradesh,2022,2,Others,30257752.66416522,52564
himachal-pradesh,2022,3,Merchant payments,8511266152.669347,12686960
himachal-pradesh,2022,3,Peer-to-peer payments,27039659316.468132,8330778
himachal-pradesh,2022,3,Recharge & bill payments,1780405740.3941154,4083168
himachal-pradesh,2022,3,Financial Services,22686931.870640453,21293
himachal-pradesh,2022,3,Others,26764547.138168834,42669
himachal-pradesh,2022,4,Merchant payments,10280295883.656351,15297492
himachal-pradesh,2022,4,Peer-to-peer payments,29629346091.977356,9284824
himachal-pradesh,2022,4,Recharge & bill payments,1810538524.3215194,3907023
himachal-pradesh,2022,4,Financial Services,31775337.436365627,24342
himachal-pradesh,2022,4,Others,27387394.982090995,41455
himachal-pradesh,2023,1,Merchant payments,9023136407.0,14694013
himachal-pradesh,2023,1,Peer-to-peer payments,26709451358.0,8637695
himachal-pradesh,2023,1,Recharge & bill payments,1950250571.0,3901516
himachal-pradesh,2023,1,Financial Services,30757925.0,25722
himachal-pradesh,2023,1,Others,27351473.0,42780
himachal-pradesh,2023,2,Merchant payments,11643011071.0,19954117
himachal-pradesh,2023,2,Peer-to-peer payments,33008088763.0,10781507
himachal-pradesh,2023,2,Recharge & bill payments,2159052653.0,4247339
himachal-pradesh,2023,2,Financial Services,34689932.0,27709
himachal-pradesh,2023,2,Others,30221299.0,50923
himachal-pradesh,2023,3,Merchant payments,10559011464.0,19233611
himachal-pradesh,2023,3,Peer-to-peer payments,29239694406.0,9983786
himachal-pradesh,2023,3,Recharge & bill payments,1991652882.0,4046932
himachal-pradesh,2023,3,Financial Services,41972330.0,27958
himachal-pradesh,2023,3,Others,22240555.0,44767
jammu-&-kashmir,2018,1,Recharge & bill payments,78812610.35129012,457813
jammu-&-kashmir,2018,1,Peer-to-peer payments,861670157.9310012,353621
jammu-&-kashmir,2018,1,Financial Services,10269382.6199755,65683
jammu-&-kashmir,2018,1,Merchant payments,30967525.638810236,28696
jammu-&-kashmir,2018,1,Others,23651562.715049967,35755
jammu-&-kashmir,2018,2,Recharge & bill payments,166762242.91718757,794502
jammu-&-kashmir,2018,2,Peer-to-peer payments,2372961687.5536175,771844
jammu-&-kashmir,2018,2,Financial Services,15636116.81386063,112422
jammu-&-kashmir,2018,2,Merchant payments,64454257.5252622,79248
jammu-&-kashmir,2018,2,Others,31391931.692946266,38310
jammu-&-kashmir,2018,3,Peer-to-peer payments,3616022745.5645847,1260453
jammu-&-kashmir,2018,3,Recharge & bill payments,203079955.34644008,822143
jammu-&-kashmir,2018,3,Merchant payments,82826475.18797052,140076
jammu-&-kashmir,2018,3,Financial Services,6397888.3546260595,44464
jammu-&-kashmir,2018,3,Others,26373935.004048545,36825
jammu-&-kashmir,2018,4,Peer-to-peer payments,5151829745.262983,1265457
jammu-&-kashmir,2018,4,Recharge & bill payments,254473764.00233167,970724
jammu-&-kashmir,2018,4,Merchant payments,215771001.5429565,402303
jammu-&-kashmir,2018,4,Financial Services,6072177.152358056,33775
jammu-&-kashmir,2018,4,Others,36573577.73688933,49051
jammu-&-kashmir,2019,1,Peer-to-peer payments,5414709531.836735,1913720
jammu-&-kashmir,2019,1,Recharge & bill payments,302663112.8884805,1131953
jammu-&-kashmir,2019,1,Merchant payments,199219534.93760535,452379
jammu-&-kashmir,2019,1,Financial Services,4593545.201922052,43247
jammu-&-kashmir,2019,1,Others,30649751.65627311,43688
jammu-&-kashmir,2019,2,Peer-to-peer payments,5666318253.462076,1180781
jammu-&-kashmir,2019,2,Recharge & bill payments,215937468.94414753,706569
jammu-&-kashmir,2019,2,Merchant payments,188931529.4882364,353678
jammu-&-kashmir,2019,2,Financial Services,2652961.353697454,22663
jammu-&-kashmir,2019,2,Others,26301988.31534837,32664
jammu-&-kashmir,2019,3,Peer-to-peer payments,3499425217.9582095,618694
jammu-&-kashmir,2019,3,Recharge & bill payments,111964437.03321175,318061
jammu-&-kashmir,2019,3,Merchant payments,120736230.08884756,165115
jammu-&-kashmir,2019,3,Financial Services,658515.8825482852,2895
jammu-&-kashmir,2019,3,Others,11446090.81965122,11761
jammu-&-kashmir,2019,4,Peer-to-peer payments,1799955855.9714913,310620
